Google Documents,理財幫手AndroMoney,2026/09/17,,,,,,,,,,,,
Id,幣別,金額,分類,子分類,日期,付款(轉出),收款(轉入),備註,Periodic,專案,商家(公司),uid,時間,status
105,TWD,20000,餐飲食品,cash,20220108,現金,,wife,,,,c73d49cd1f9b4ead8c94def7da025c15,1230,
106,TWD,1498,餐飲食品,晚餐,20220114,信用卡,,,,富邦,,8b4b384b53a14f5e847467e8c2569397,2110,
107,TWD,100000,餐飲食品,Wife,20220114,現金,,紅包,,,,e337a8d4b6884b54a70f70d2313deda4,2111,
108,TWD,614,休閒娛樂,旅行遊玩,20220114,信用卡,,,,富邦,,a6d44c51fa9d42a98e358f9a0d9e7648,2115,
109,TWD,5000,餐飲食品,點心零嘴,20220115,現金,,,,,,d10a33f773b54539a0b2b200c24237a2,1219,
110,TWD,1500,稅務捐款,慈善捐款,20220116,信用卡,,,,富邦,,98d4772713d54b0fab48284743ba9707,830,
111,TWD,931,教育學習,書,20220116,信用卡,,,,富邦,,ef88ba4d81d047daa733aa59d827adc5,1536,
112,TWD,1389,汽機車,油錢,20220117,信用卡,,,,富邦,,1151206ae8a94756bc65cd20c8de7a39,2011,
113,TWD,2000,稅務捐款,慈善捐款,20220120,信用卡,,,,富邦,,c1ff36749e5745b89f313f71eb3d0f06,1335,
114,TWD,10000,餐飲食品,點心零嘴,20220121,現金,,,,,,f800471c4db7414ca2d5497863f748c3,1529,
115,TWD,1339,休閒娛樂,旅行遊玩,20220122,信用卡,,,,富邦,,16e8c7bae32c425b957e605393b107b0,1030,
116,TWD,1672,餐飲食品,晚餐,20220122,信用卡,,,,富邦,,39ec0b26b6ce473bafdf4aa9e5a71c71,1903,
117,TWD,1200,居家生活,網路費,20220124,現金,,,,,,2d8e75a61ffe4cef88b95907c7c18c58,2101,
118,TWD,10000,餐飲食品,點心零嘴,20220125,現金,,,,,,1cedf643d76e467ea5a0d960d006ea88,1844,
119,TWD,120000,餐飲食品,點心零嘴,20220127,現金,,紅包,,,,e639d0f8bf8d47b499218316087d1140,19,
120,TWD,11732,餐飲食品,食材,20220127,信用卡,,,,Costco,,54e04e978e5a4bf1b631a245310cc8fe,1920,
121,TWD,390,居家生活,水費,20220129,信用卡,,,,富邦,,e85eb127ec724bd4b37e9fee38eed5db,726,
122,TWD,102000,稅務捐款,慈善捐款,20220201,信用卡,,法鼓山梁皇,,富邦,,af147462150a480a8e909da44d498d3a,1236,
123,TWD,1500,稅務捐款,慈善捐款,20220202,信用卡,,,,富邦,,c8c70208c0f54d6da7963076c3f31005,1417,
124,TWD,1495,休閒娛樂,運動健身,20220202,信用卡,,,,富邦,,e948e4f273364afbb73ff6a484f4e5d9,1417,
125,TWD,2045,餐飲食品,午餐,20220202,信用卡,,,,富邦,,a8e88cf23e114236a2ce343989673ad6,1417,
126,TWD,1767,餐飲食品,點心零嘴,20220202,信用卡,,,,富邦,,cfe06cdf42314969b90b7bdaf977749a,2011,
127,TWD,671,餐飲食品,點心零嘴,20220202,信用卡,,,,富邦,,9ef4e777c65a43d4b9f66535d85d1e03,2011,
128,TWD,1500,稅務捐款,慈善捐款,20220203,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20220203,,0
129,TWD,1654,餐飲食品,午餐,20220203,信用卡,,,,富邦,,626dbdfd5df3466aae367740220597ea,1305,
130,TWD,1000,稅務捐款,慈善捐款,20220207,信用卡,,,,富邦,,814d3d8fa971496186e9dd59784cee61,1207,
131,TWD,894,服飾美容,鞋子,20220212,信用卡,,,,富邦,,a32a354203104438a687d9ef201f3cd6,1655,
132,TWD,965,汽機車,維修保養,20220212,信用卡,,,,富邦,,682882d3136a44c78fe7e0e4cd8a78a5,1712,
133,TWD,3080,餐飲食品,晚餐,20220212,信用卡,,,,富邦,,5071c96b721b47249058556f1d7f93e8,2045,
134,TWD,1500,稅務捐款,慈善捐款,20220216,信用卡,,,,富邦,,f468bda916d84a9c83f08b27ac424d4e,1117,
135,TWD,1519,汽機車,油錢,20211116,信用卡,,,,富邦,,2952af52aa34436490ff7b942f052a8e,2012,
136,TWD,1519,汽機車,油錢,20220218,信用卡,,,,富邦,,4f854a4a66de458db6a214bc95cc127a,2014,
137,TWD,6000,稅務捐款,慈善捐款,20220218,現金,,,,,,defc186d438e475fa06846f9b933ceb0,825,
138,TWD,2000,稅務捐款,慈善捐款,20220218,信用卡,,,,富邦,,43e8054af4974dddbc5e2b05cccd0e73,915,
139,TWD,15000,教育學習,學雜費,20220218,現金,,,,,,19e5de39764f433880ba34e194a36422,2140,
140,TWD,20000,餐飲食品,點心零嘴,20220219,現金,,,,,,660f4c6dc333476bb94599cbdd27e884,908,
141,TWD,2492,餐飲食品,晚餐,20220225,信用卡,,,,富邦,,1fe8cb0068ae4195af8771f5ffadd61a,2046,
142,TWD,2076,教育學習,書,20220225,信用卡,,,,富邦,,0b855fae157342a48547b82ca8f3823f,2130,
143,TWD,3870,餐飲食品,晚餐,20220226,信用卡,,,,富邦,,319b416145c947b692c07e5a7d5def63,1913,
144,TWD,3132,餐飲食品,午餐,20220228,信用卡,,,,富邦,,768fa581401f4415b190dd190b12642b,1254,
145,TWD,2754,居家生活,電費,20220201,信用卡,,,,富邦,,bbbf18a28d6c40c69b81f4f3f7ac9529,2119,
146,TWD,1500,稅務捐款,慈善捐款,20220303,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20220303,1704,0
147,TWD,2248,餐飲食品,晚餐,20220304,信用卡,,,,富邦,,09ff1477184741bdb6fe198d044fe0f1,1955,
148,TWD,80000,餐飲食品,Wife,20220304,現金,,,,,,97ee27544b224bf8a5513458f288a11f,2149,
149,TWD,922,運輸交通,ETC,20220304,信用卡,,,,富邦,,aadec4528b404b82beb36474fcf5c436,2149,
150,TWD,13148,休閒娛樂,旅行遊玩,20220305,信用卡,,,,富邦,,bf823698dc0748cd9d846c07ee93b226,1120,
151,TWD,2863,休閒娛樂,旅行遊玩,20220306,信用卡,,,,富邦,,842c4765102e4f4f9c174b9536feeb49,929,
152,TWD,1000,稅務捐款,慈善捐款,20220307,信用卡,,,,富邦,,d492c2aee40f43f2b288be4c4c3ad92f,1031,
153,TWD,1583,汽機車,油錢,20220307,信用卡,,,,富邦,,20f4a6915b904e198ec63f5d1f407a67,2222,
154,TWD,2073,餐飲食品,晚餐,20220311,信用卡,,9,,富邦,,e118666654d6417eaebd953938d723dc,2202,
155,TWD,2100,服飾美容,上衣,20220312,信用卡,,,,富邦,,459a27bc03454e6fa54b1811eb8dffb5,1835,
156,TWD,1500,餐飲食品,午餐,20220312,信用卡,,,,富邦,,ceca898ecef74435b5bc26efde10c60b,1835,
157,TWD,1228,餐飲食品,晚餐,20220312,信用卡,,,,富邦,,115fc0e40cd54759adcff4c7368d5008,1836,
158,TWD,4800,餐飲食品,食材,20220317,現金,,,,,華生,128d63e2f1fe403c95f61f494b6bff9f,1703,
159,TWD,2000,稅務捐款,慈善捐款,20220318,信用卡,,,,富邦,,ee2c4b1b54d545c58be5a6949ce50cdc,1121,
160,TWD,1875,圖書刊物,書籍,20220318,信用卡,,,,富邦,,7792dda0b0214c7daf00172cc79c0148,2145,
161,TWD,10000,餐飲食品,點心零嘴,20220319,現金,,,,,,b43068d5aeb44fa0ba4fdff59c13eb8b,2107,
162,TWD,2566,休閒娛樂,旅行遊玩,20220319,信用卡,,,,富邦,,606c89d55b344bbdb2aba230aa3ed24a,2215,
163,TWD,700,餐飲食品,晚餐,20220320,信用卡,,,,富邦,,a9d8744f64e84b8cbbb2dc758953e004,2013,
164,TWD,4467,居家生活,電費,20220322,信用卡,,"
",,富邦,,3d884b9dd91f44509663ca2917ad0ca6,1216,
165,TWD,1477,汽機車,油錢,20220325,信用卡,,,,富邦,,0039901bd39c4128ba9cd2e09b01f5a2,1714,
166,TWD,30000,稅務捐款,慈善捐款,20220330,信用卡,,,,富邦,法鼓山,3ec0a6d51d654dec911e25e02d8250eb,2350,
167,TWD,5000,餐飲食品,cash,20220402,現金,,,,,,2bd3d6dffd3348ca9dacaf3e7146898e,1119,
168,TWD,11594,居家生活,管理費,20220402,現金,,,,,,b618b97a4dd24b1086b64d587dcdef07,1128,
169,TWD,7120,汽機車,牌照稅,20220402,信用卡,,3180-M6,,富邦,,9480c92d54db41c5b2a4d4fc5c23b7c2,1139,
170,TWD,7120,汽機車,牌照稅,20220402,信用卡,,BEP-3023,,富邦,,afbdffe3e28d4acd9d4b23cddc22026f,1142,
171,TWD,1024,餐飲食品,午餐,20220402,信用卡,,,,富邦,,40f445e979f742d3b09ed5e8564d1354,1523,
172,TWD,3788,服飾美容,配件,20220402,信用卡,,,,富邦,,2b28e0d091bd4503b45ec725e287ef5d,1620,
173,TWD,1716,餐飲食品,晚餐,20220402,信用卡,,,,富邦,,693e6d7a9a2b4e5fa0a9fe9df5e37dbb,1924,
174,TWD,1500,稅務捐款,慈善捐款,20220403,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20220403,,0
175,TWD,66000,餐飲食品,Wife,20220403,現金,,,,,,f0ddeb472c4f485d8bf0b8ef2d196ccb,2321,
176,TWD,1000,餐飲食品,晚餐,20220406,信用卡,,,,富邦,,392b0f30b7ae4a04a2dcc473cc93e305,1152,
177,TWD,1563,汽機車,油錢,20220410,銀行,,,,富邦,,03ee214da5c44f7fa3519877efa207e2,1505,
178,TWD,1914,餐飲食品,點心零嘴,20220410,信用卡,,,,富邦,,1d8eb87f8b6e477aaad884a6a480c590,2003,
179,TWD,6154,餐飲食品,食材,20220414,信用卡,,,,Costco,華生,3cc4cd106496488f8e053d5ecfa37008,2000,
180,TWD,2106,圖書刊物,書籍,20220414,信用卡,,,,富邦,,418a036c931147edb2e56046eb8b9ab2,2327,
181,TWD,1500,稅務捐款,慈善捐款,20220416,信用卡,,,,富邦,,12c5d8235c314b47978e1f64b768d035,750,
182,TWD,10000,餐飲食品,cash,20220417,現金,,,,,,54d6e9411d6248588972aa1534944263,1948,
183,TWD,10000,餐飲食品,cash,20220419,現金,,,,,,18c526c6049c4182a15b8ff41854568e,1817,
184,TWD,13024,餐飲食品,晚餐,20220419,信用卡,,,,富邦,,77a2a26957b642bfa93bf06818bd399d,2117,
185,TWD,2000,稅務捐款,慈善捐款,20220420,信用卡,,,,富邦,,fba2d9c956a04006895d66d08398e9ba,1313,
186,TWD,17533,醫療保健,保險,20220420,信用卡,,彤,,富邦,,d1436610786e452a8c21f40a7435cf99,2125,
187,TWD,3767,醫療保健,保險,20220420,信用卡,,彤,,富邦,,43af270f5f6545eca848292566f1f2df,2126,
188,TWD,17813,醫療保健,保險,20220420,信用卡,,名,,富邦,,0a4a02025ee843e188f12707e42f70b9,2126,
189,TWD,3787,醫療保健,保險,20220420,信用卡,,名,,富邦,,95d60cc4448f48d9b3ce34f013f62749,2127,
190,TWD,1180,休閒娛樂,旅行遊玩,20220421,信用卡,,,,富邦,,f3b1f08543c44cbf90c3517b8a8a4261,1302,
191,TWD,1325,餐飲食品,食材,20220424,信用卡,,,,富邦,,1ee10c1494ce4b93b4144090327f2196,1253,
192,TWD,1631,圖書刊物,書籍,20220426,信用卡,,,,富邦,,203b2b3accfc4c7993cb697f2583beca,2145,
193,TWD,1644,居家生活,瓦斯費,20220430,信用卡,,,,富邦,,f5937f91afb4401abd0a809454eeb617,1125,
194,TWD,3639,休閒娛樂,露營用品,20220501,信用卡,,,,富邦,,9a640f9726a8491a9376993b2b075ed8,1819,
195,TWD,34403,居家生活,房屋稅,20220501,信用卡,,,,富邦,,68e45551cbee4dfaa78f05cb403b710b,2300,
196,TWD,1500,稅務捐款,慈善捐款,20220503,信用卡,,,1|20211003|20260903||2|1,,,e9ec2a398cd94d7cbe88b2298330d995_20220503,1704,0
197,TWD,2426,圖書刊物,書籍,20220504,信用卡,,,,富邦,,50ef4afd4bc14b7c8f059508f3e5f548,2038,
198,TWD,68000,餐飲食品,Wife,20220504,現金,,,,,,611f92cf876040b3870807748dbfa626,2214,
199,TWD,1500,稅務捐款,慈善捐款,20220505,信用卡,,,,富邦,,e05c61e7b9c24d3d8aeba2c8e4004dd2,1411,
200,TWD,1577,汽機車,油錢,20220506,信用卡,,,,富邦,,f758c3888f2143729e78896a568e704f,1858,
201,TWD,1520,餐飲食品,午餐,20220508,信用卡,,,,富邦,,7dbfefec54c04da39464e532de16c61b,1548,
202,TWD,1600,服飾美容,鞋子,20220508,信用卡,,,,富邦,,3b168ac147ea416a9ccb06cf413d852f,1605,
203,TWD,100000,餐飲食品,Wife,20220509,現金,,,,,,e9fc5c78f51f45feb2ce47430e17b7ed,1317,
204,TWD,12100,醫療保健,身體檢查,20220511,信用卡,,,,富邦,,b016f0e66cf0463ba602f5b250658fd5,1308,
205,TWD,15000,醫療保健,身體檢查,20220511,信用卡,,,,富邦,,e2592bf93dca4ac7991a7a4719cd9677,1309,
206,TWD,1833,餐飲食品,食材,20220514,信用卡,,,,Costco,,6f106229f10b499e8f2a32ff06be1c68,2014,
207,TWD,880,服飾美容,配件,20220515,信用卡,,,,玉山,,dc364eae8b6c43f3b06ef1b1b7221679,2031,
208,TWD,1500,稅務捐款,慈善捐款,20220516,信用卡,,,,富邦,,342e60e00dd54d8d9cd9bb81b3205a13,1026,
209,TWD,2514,服飾美容,配件,20220518,信用卡,,"
",,富邦,,f2bac32a38fc46b180f733320c9b2789,2253,
210,TWD,3599,餐飲食品,食材,20220519,信用卡,,,,Costco,,a16a62f46433455c96c9fdd1e20f6269,2105,
211,TWD,4362,餐飲食品,食材,20220519,信用卡,,,,Costco,,c078faf0ee57493da1547442690fe1eb,2105,
212,TWD,2000,稅務捐款,慈善捐款,20220520,信用卡,,,,富邦,,e3df7e05c2ff4e83be34f411c4099b4c,923,
213,TWD,5000,餐飲食品,cash,20220523,現金,,,,,,ae6858b8d259411f83990b321d42220b,727,
214,TWD,1458,汽機車,油錢,20220529,信用卡,,,,富邦,,fa94b746957c485a9192aba8210a9bad,1241,
215,TWD,1500,稅務捐款,慈善捐款,20220602,信用卡,,,,富邦,,a094403956344aaa8b6dcde5ffb36ea0,652,
216,TWD,356,居家生活,水費,20220602,銀行,,,,玉山,,d4558644fb82492988ae7a8a5a710c29,653,
217,TWD,5000,餐飲食品,cash,20220602,現金,,"
",,,蘋果公司,1f5efc2a2b804643b04d6e3b9fe791e4,1809,
218,TWD,2277,餐飲食品,晚餐,20220602,信用卡,,,,玉山,,aebefc32c6c54b10b2ea41a1e38dfd57,2011,
